"Label (Grouping)","HOUSEHOLDS","HOUSEHOLDS!!Total households","HOUSEHOLDS!!Average household size","FAMILIES","FAMILIES!!Total families","FAMILIES!!Average family size","AGE OF OWN CHILDREN","AGE OF OWN CHILDREN!!Households with own children of the householder under 18 years","AGE OF OWN CHILDREN!!Households with own children of the householder under 18 years!!Under 6 years only","AGE OF OWN CHILDREN!!Households with own children of the householder under 18 years!!Under 6 years and 6 to 17 years","AGE OF OWN CHILDREN!!Households with own children of the householder under 18 years!!6 to 17 years only","Total households","Total households!!SELECTED HOUSEHOLDS BY TYPE","Total households!!SELECTED HOUSEHOLDS BY TYPE!!Households with one or more people under 18 years","Total households!!SELECTED HOUSEHOLDS BY TYPE!!Households with one or more people 60 years and over","Total households!!SELECTED HOUSEHOLDS BY TYPE!!Households with one or more people 65 years and over","Total households!!SELECTED HOUSEHOLDS BY TYPE!!Householder living alone","Total households!!SELECTED HOUSEHOLDS BY TYPE!!Householder living alone!!65 years and over","Total households!!UNITS IN STRUCTURE","Total households!!UNITS IN STRUCTURE!!1-unit structures","Total households!!UNITS IN STRUCTURE!!2-or-more-unit structures","Total households!!UNITS IN STRUCTURE!!Mobile homes and all other types of units","Total households!!HOUSING TENURE","Total households!!HOUSING TENURE!!Owner-occupied housing units","Total households!!HOUSING TENURE!!Renter-occupied housing units"
"    Nonfamily household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,138,519","1.21","","(X)","(X)","","(X)","(X)","(X)","(X)","1,138,519","","0.4%","50.1%","39.6%","81.7%","36.5%","","42.9%","55.5%","1.6%","","48.6%","51.4%"
"        Margin of Error","","±15,495","±0.01","","(X)","(X)","","(X)","(X)","(X)","(X)","±15,495","","±0.1","±0.8","±0.7","±0.7","±0.7","","±0.8","±0.8","±0.2","","±0.9","±0.9"
"New Mexico","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","848,218","2.44","","516,464","3.12","","193,922","19.6%","21.8%","58.6%","848,218","","26.7%","44.8%","34.9%","32.3%","13.6%","","70.2%","15.1%","14.7%","","70.9%","29.1%"
"        Margin of Error","","±4,975","±0.01","","±8,138","±0.03","","±5,694","±1.5","±2.0","±1.9","±4,975","","±0.7","±0.6","±0.4","±0.8","±0.5","","±0.9","±0.7","±0.6","","±0.7","±0.7"
"    Married-couple family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","344,144","3.14","","344,144","3.12","","111,828","19.4%","23.6%","57.0%","344,144","","35.6%","46.4%","(X)","(X)","(X)","","81.4%","4.4%","14.1%","","85.9%","14.1%"
"        Margin of Error","","±7,331","±0.04","","±7,331","±0.04","","±5,806","±2.4","±2.8","±2.7","±7,331","","±1.4","±1.0","(X)","(X)","(X)","","±1.2","±0.7","±1.1","","±1.1","±1.1"
"    Male householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","54,774","3.36","","54,774","2.93","","24,875","26.5%","25.5%","48.0%","54,774","","55.9%","33.7%","(X)","(X)","(X)","","67.9%","12.8%","19.3%","","69.3%","30.7%"
"        Margin of Error","","±4,735","±0.13","","±4,735","±0.12","","±3,312","±6.5","±6.9","±7.3","±4,735","","±4.8","±4.2","(X)","(X)","(X)","","±4.0","±3.2","±3.0","","±4.7","±4.7"
"    Female householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","117,546","3.44","","117,546","3.23","","57,219","16.9%","16.7%","66.3%","117,546","","61.0%","34.4%","(X)","(X)","(X)","","65.5%","13.5%","21.0%","","62.6%","37.4%"
"        Margin of Error","","±5,349","±0.09","","±5,349","±0.08","","±4,161","±2.8","±2.8","±3.7","±5,349","","±2.6","±2.6","(X)","(X)","(X)","","±2.4","±2.1","±2.2","","±2.3","±2.3"
"    Nonfamily household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","331,754","1.21","","(X)","(X)","","(X)","(X)","(X)","(X)","331,754","","0.5%","48.5%","38.2%","82.6%","34.7%","","60.5%","27.2%","12.3%","","58.7%","41.3%"
"        Margin of Error","","±8,427","±0.02","","(X)","(X)","","(X)","(X)","(X)","(X)","±8,427","","±0.2","±1.3","±1.2","±1.4","±1.2","","±1.8","±1.5","±0.9","","±1.4","±1.4"
"New York","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","7,774,308","2.45","","4,738,232","3.12","","1,855,439","21.7%","18.9%","59.4%","7,774,308","","27.0%","43.9%","33.5%","31.2%","12.5%","","46.8%","51.2%","2.0%","","54.1%","45.9%"
"        Margin of Error","","±19,481","±0.01","","±25,470","±0.01","","±20,933","±0.7","±0.6","±0.7","±19,481","","±0.3","±0.2","±0.1","±0.3","±0.2","","±0.3","±0.3","±0.1","","±0.3","±0.3"
"    Married-couple family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","3,288,930","3.26","","3,288,930","3.22","","1,240,804","23.9%","20.0%","56.2%","3,288,930","","40.4%","45.1%","(X)","(X)","(X)","","65.0%","33.3%","1.7%","","73.2%","26.8%"
"        Margin of Error","","±25,343","±0.01","","±25,343","±0.01","","±17,071","±0.8","±0.7","±0.7","±25,343","","±0.4","±0.4","(X)","(X)","(X)","","±0.4","±0.4","±0.1","","±0.5","±0.5"
"    Male householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","399,804","3.03","","399,804","2.69","","153,378","21.4%","16.6%","61.9%","399,804","","46.6%","40.8%","(X)","(X)","(X)","","45.2%","52.0%","2.7%","","49.0%","51.0%"
"        Margin of Error","","±12,060","±0.05","","±12,060","±0.04","","±8,028","±2.7","±2.0","±2.8","±12,060","","±1.5","±1.5","(X)","(X)","(X)","","±1.4","±1.4","±0.4","","±1.6","±1.6"
"    Female householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,049,498","3.21","","1,049,498","3.00","","461,257","16.0%","16.9%","67.0%","1,049,498","","53.8%","37.4%","(X)","(X)","(X)","","39.1%","59.0%","1.9%","","39.9%","60.1%"
"        Margin of Error","","±17,282","±0.03","","±17,282","±0.03","","±11,443","±1.2","±1.0","±1.3","±17,282","","±1.0","±0.9","(X)","(X)","(X)","","±0.9","±1.0","±0.2","","±0.9","±0.9"
"    Nonfamily household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","3,036,076","1.24","","(X)","(X)","","(X)","(X)","(X)","(X)","3,036,076","","0.6%","45.2%","35.4%","79.8%","32.1%","","29.9%","67.9%","2.2%","","38.9%","61.1%"
"        Margin of Error","","±25,008","±0.01","","(X)","(X)","","(X)","(X)","(X)","(X)","±25,008","","±0.1","±0.5","±0.4","±0.5","±0.4","","±0.4","±0.4","±0.1","","±0.5","±0.5"
"North Carolina","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","4,299,266","2.42","","2,785,497","3.00","","1,113,144","21.5%","19.6%","58.9%","4,299,266","","29.0%","40.5%","30.6%","28.8%","11.1%","","71.4%","18.1%","10.5%","","66.7%","33.3%"
"        Margin of Error","","±15,150","±0.01","","±19,389","±0.02","","±13,362","±0.7","±0.9","±0.9","±15,150","","±0.3","±0.2","±0.2","±0.4","±0.2","","±0.4","±0.3","±0.3","","±0.4","±0.4"
"    Married-couple family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","2,057,368","3.04","","2,057,368","3.02","","743,961","22.1%","20.3%","57.6%","2,057,368","","38.8%","41.4%","(X)","(X)","(X)","","85.4%","6.4%","8.3%","","83.1%","16.9%"
"        Margin of Error","","±19,109","±0.02","","±19,109","±0.02","","±12,240","±0.8","±1.0","±1.1","±19,109","","±0.5","±0.4","(X)","(X)","(X)","","±0.5","±0.4","±0.3","","±0.5","±0.5"
"    Male householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","189,029","3.09","","189,029","2.73","","85,911","26.1%","17.0%","56.9%","189,029","","53.9%","30.6%","(X)","(X)","(X)","","63.6%","17.0%","19.5%","","57.9%","42.1%"
"        Margin of Error","","±7,806","±0.07","","±7,806","±0.06","","±5,817","±2.9","±2.5","±3.4","±7,806","","±2.4","±2.2","(X)","(X)","(X)","","±2.4","±2.0","±2.0","","±2.5","±2.5"
"    Female householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","539,100","3.19","","539,100","3.01","","283,272","18.4%","18.7%","62.9%","539,100","","62.5%","29.1%","(X)","(X)","(X)","","61.5%","22.8%","15.7%","","48.9%","51.1%"
"        Margin of Error","","±11,954","±0.04","","±11,954","±0.04","","±9,739","±1.7","±1.6","±2.2","±11,954","","±1.1","±1.2","(X)","(X)","(X)","","±1.3","±1.2","±0.9","","±1.5","±1.5"
"    Nonfamily household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,513,769","1.23","","(X)","(X)","","(X)","(X)","(X)","(X)","1,513,769","","0.6%","44.5%","34.0%","81.9%","31.5%","","57.0%","32.6%","10.4%","","52.0%","48.0%"
"        Margin of Error","","±18,054","±0.01","","(X)","(X)","","(X)","(X)","(X)","(X)","±18,054","","±0.1","±0.7","±0.6","±0.6","±0.6","","±0.8","±0.6","±0.5","","±0.7","±0.7"
"North Dakota","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","331,481","2.26","","193,761","2.93","","89,249","24.2%","20.0%","55.9%","331,481","","28.8%","36.1%","27.0%","33.3%","11.4%","","65.6%","27.7%","6.7%","","65.1%","34.9%"
"        Margin of Error","","±3,670","±0.03","","±4,911","±0.05","","±4,389","±2.4","±2.5","±2.9","±3,670","","±1.3","±0.8","±0.6","±1.3","±0.8","","±1.3","±1.1","±0.8","","±1.2","±1.2"
"    Married-couple family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","156,026","3.00","","156,026","2.98","","68,031","27.3%","19.6%","53.1%","156,026","","44.9%","37.3%","(X)","(X)","(X)","","85.7%","8.4%","5.9%","","84.9%","15.1%"
"        Margin of Error","","±4,883","±0.04","","±4,883","±0.04","","±4,101","±2.9","±2.9","±3.6","±4,883","","±2.0","±1.7","(X)","(X)","(X)","","±1.7","±1.4","±1.0","","±1.8","±1.8"
"    Male householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","12,766","2.76","","12,766","2.45","","5,918","14.9%","15.6%","69.5%","12,766","","58.4%","23.0%","(X)","(X)","(X)","","53.6%","27.8%","18.6%","","64.9%","35.1%"
"        Margin of Error","","±2,122","±0.22","","±2,122","±0.20","","±1,386","±7.2","±6.4","±8.8","±2,122","","±7.3","±7.2","(X)","(X)","(X)","","±8.1","±7.6","±7.4","","±7.9","±7.9"
"    Female householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","24,969","3.04","","24,969","2.83","","15,300","13.9%","23.4%","62.7%","24,969","","68.9%","26.0%","(X)","(X)","(X)","","56.0%","33.6%","10.4%","","51.0%","49.0%"
"        Margin of Error","","±2,721","±0.17","","±2,721","±0.16","","±2,401","±4.9","±7.1","±7.7","±2,721","","±4.9","±4.9","(X)","(X)","(X)","","±6.6","±6.6","±3.3","","±5.8","±5.8"
"    Nonfamily household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","137,720","1.25","","(X)","(X)","","(X)","(X)","(X)","(X)","137,720","","0.6%","37.8%","29.1%","80.2%","27.4%","","45.6%","48.5%","5.9%","","45.3%","54.7%"
"        Margin of Error","","±4,642","±0.03","","(X)","(X)","","(X)","(X)","(X)","(X)","±4,642","","±0.3","±2.3","±1.8","±2.2","±1.8","","±2.0","±2.1","±1.1","","±2.3","±2.3"
"Ohio","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","4,878,206","2.35","","2,983,145","2.98","","1,206,707","22.7%","20.7%","56.6%","4,878,206","","27.3%","41.9%","31.8%","31.8%","12.9%","","75.2%","21.6%","3.1%","","67.3%","32.7%"
"        Margin of Error","","±13,413","±0.01","","±20,221","±0.01","","±12,835","±0.7","±0.7","±0.8","±13,413","","±0.3","±0.2","±0.2","±0.4","±0.2","","±0.3","±0.3","±0.1","","±0.4","±0.4"
"    Married-couple family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","2,173,755","3.05","","2,173,755","3.04","","776,851","23.6%","21.5%","54.9%","2,173,755","","38.0%","42.8%","(X)","(X)","(X)","","91.3%","6.2%","2.5%","","86.7%","13.3%"
"        Margin of Error","","±19,532","±0.01","","±19,532","±0.01","","±12,277","±0.8","±0.8","±1.1","±19,532","","±0.5","±0.4","(X)","(X)","(X)","","±0.3","±0.3","±0.2","","±0.4","±0.4"
"    Male householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","228,796","3.05","","228,796","2.67","","112,824","25.3%","13.0%","61.7%","228,796","","56.9%","30.6%","(X)","(X)","(X)","","77.6%","17.9%","4.6%","","64.1%","35.9%"
"        Margin of Error","","±8,418","±0.05","","±8,418","±0.05","","±6,819","±2.5","±2.5","±3.5","±8,418","","±2.1","±1.6","(X)","(X)","(X)","","±1.5","±1.3","±0.8","","±2.0","±2.0"
"    Female householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","580,594","3.12","","580,594","2.90","","317,032","19.6%","21.5%","58.9%","580,594","","62.6%","28.0%","(X)","(X)","(X)","","69.7%","25.9%","4.4%","","48.0%","52.0%"
"        Margin of Error","","±11,511","±0.04","","±11,511","±0.03","","±9,685","±1.2","±1.6","±1.7","±11,511","","±1.2","±0.9","(X)","(X)","(X)","","±1.2","±1.1","±0.4","","±1.3","±1.3"
"    Nonfamily household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,895,061","1.23","","(X)","(X)","","(X)","(X)","(X)","(X)","1,895,061","","0.7%","46.5%","35.9%","81.9%","33.2%","","58.2%","38.5%","3.4%","","51.5%","48.5%"
"        Margin of Error","","±22,586","±0.01","","(X)","(X)","","(X)","(X)","(X)","(X)","±22,586","","±0.1","±0.6","±0.5","±0.6","±0.5","","±0.7","±0.6","±0.2","","±0.7","±0.7"
"Oklahoma","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,573,180","2.48","","1,017,586","3.07","","435,003","22.0%","21.8%","56.3%","1,573,180","","31.0%","39.7%","30.0%","28.9%","11.5%","","75.6%","16.3%","8.0%","","65.4%","34.6%"
"        Margin of Error","","±5,742","±0.01","","±8,941","±0.02","","±7,726","±1.0","±0.9","±1.3","±5,742","","±0.5","±0.3","±0.2","±0.6","±0.3","","±0.5","±0.4","±0.3","","±0.4","±0.4"
"    Married-couple family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","746,847","3.16","","746,847","3.13","","290,116","20.8%","23.4%","55.8%","746,847","","42.1%","39.8%","(X)","(X)","(X)","","87.6%","4.5%","8.0%","","82.2%","17.8%"
"        Margin of Error","","±7,970","±0.02","","±7,970","±0.02","","±6,344","±1.1","±1.0","±1.4","±7,970","","±0.8","±0.5","(X)","(X)","(X)","","±0.5","±0.4","±0.4","","±0.6","±0.6"
"    Male householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","85,224","3.14","","85,224","2.75","","44,278","30.1%","16.8%","53.1%","85,224","","59.0%","28.1%","(X)","(X)","(X)","","71.6%","16.5%","11.9%","","53.8%","46.2%"
"        Margin of Error","","±4,443","±0.08","","±4,443","±0.07","","±3,269","±3.2","±2.5","±3.4","±4,443","","±2.2","±2.3","(X)","(X)","(X)","","±2.3","±2.1","±1.4","","±2.3","±2.3"
"    Female householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","185,515","3.20","","185,515","2.98","","100,609","21.7%","19.2%","59.2%","185,515","","64.1%","28.9%","(X)","(X)","(X)","","72.3%","18.8%","9.0%","","48.6%","51.4%"
"        Margin of Error","","±5,780","±0.06","","±5,780","±0.06","","±4,689","±2.3","±2.1","±2.9","±5,780","","±1.7","±1.4","(X)","(X)","(X)","","±1.6","±1.7","±0.8","","±1.4","±1.4"
"    Nonfamily household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","555,594","1.23","","(X)","(X)","","(X)","(X)","(X)","(X)","555,594","","0.8%","45.1%","35.0%","81.7%","32.5%","","61.4%","31.4%","7.2%","","50.2%","49.8%"
"        Margin of Error","","±8,237","±0.01","","(X)","(X)","","(X)","(X)","(X)","(X)","±8,237","","±0.2","±0.9","±0.8","±0.9","±0.8","","±0.9","±0.8","±0.4","","±0.9","±0.9"
"Oregon","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,726,340","2.40","","1,041,083","2.97","","407,306","20.8%","18.0%","61.1%","1,726,340","","26.0%","42.4%","33.2%","29.3%","12.4%","","67.9%","24.9%","7.2%","","62.8%","37.2%"
"        Margin of Error","","±6,662","±0.01","","±10,346","±0.02","","±8,603","±1.1","±1.0","±1.2","±6,662","","±0.5","±0.4","±0.3","±0.6","±0.4","","±0.5","±0.5","±0.3","","±0.5","±0.5"
"    Married-couple family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","788,221","3.07","","788,221","3.03","","279,961","22.1%","19.6%","58.3%","788,221","","37.8%","43.1%","(X)","(X)","(X)","","84.6%","9.3%","6.1%","","81.3%","18.7%"
"        Margin of Error","","±10,754","±0.02","","±10,754","±0.02","","±8,040","±1.4","±1.2","±1.6","±10,754","","±0.9","±0.7","(X)","(X)","(X)","","±0.7","±0.6","±0.4","","±0.8","±0.8"
"    Male householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","82,721","3.12","","82,721","2.65","","39,295","18.7%","12.5%","68.7%","82,721","","55.5%","30.9%","(X)","(X)","(X)","","68.1%","24.1%","7.7%","","51.8%","48.2%"
"        Margin of Error","","±5,483","±0.10","","±5,483","±0.07","","±3,959","±3.8","±2.7","±3.9","±5,483","","±3.6","±3.0","(X)","(X)","(X)","","±3.2","±2.9","±1.6","","±3.3","±3.3"
"    Female householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","170,141","3.18","","170,141","2.85","","88,050","17.8%","15.5%","66.7%","170,141","","59.3%","32.6%","(X)","(X)","(X)","","61.5%","30.6%","7.9%","","50.3%","49.7%"
"        Margin of Error","","±6,585","±0.07","","±6,585","±0.07","","±5,930","±2.9","±2.7","±3.3","±6,585","","±2.3","±1.9","(X)","(X)","(X)","","±2.3","±2.3","±1.1","","±2.3","±2.3"
"    Nonfamily household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","685,257","1.35","","(X)","(X)","","(X)","(X)","(X)","(X)","685,257","","0.7%","45.4%","35.4%","73.7%","31.4%","","50.3%","41.5%","8.2%","","46.0%","54.0%"
"        Margin of Error","","±9,930","±0.02","","(X)","(X)","","(X)","(X)","(X)","(X)","±9,930","","±0.2","±1.0","±0.8","±1.2","±0.9","","±0.9","±1.0","±0.6","","±1.0","±1.0"
"Pennsylvania","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","5,294,065","2.37","","3,294,814","2.99","","1,264,361","21.8%","19.2%","59.0%","5,294,065","","26.4%","44.6%","34.2%","30.6%","13.3%","","76.0%","20.8%","3.3%","","69.1%","30.9%"
"        Margin of Error","","±14,260","±0.01","","±21,729","±0.02","","±16,457","±0.6","±0.7","±0.7","±14,260","","±0.3","±0.2","±0.1","±0.4","±0.2","","±0.3","±0.3","±0.1","","±0.3","±0.3"
"    Married-couple family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","2,462,324","3.05","","2,462,324","3.04","","860,534","22.6%","20.1%","57.3%","2,462,324","","37.1%","44.8%","(X)","(X)","(X)","","90.4%","7.2%","2.4%","","86.5%","13.5%"
"        Margin of Error","","±19,809","±0.02","","±19,809","±0.02","","±12,614","±0.8","±0.8","±0.8","±19,809","","±0.4","±0.3","(X)","(X)","(X)","","±0.3","±0.3","±0.1","","±0.4","±0.4"
"    Male householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","238,782","3.00","","238,782","2.67","","109,828","22.4%","17.6%","59.9%","238,782","","52.3%","34.7%","(X)","(X)","(X)","","81.3%","14.0%","4.7%","","67.9%","32.1%"
"        Margin of Error","","±7,976","±0.06","","±7,976","±0.06","","±5,282","±2.3","±2.6","±3.0","±7,976","","±1.7","±1.7","(X)","(X)","(X)","","±1.4","±1.4","±0.8","","±1.8","±1.8"
"    Female householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","593,708","3.13","","593,708","2.93","","293,999","19.2%","17.3%","63.5%","593,708","","59.0%","34.2%","(X)","(X)","(X)","","76.3%","20.0%","3.8%","","54.1%","45.9%"
"        Margin of Error","","±13,755","±0.04","","±13,755","±0.04","","±10,240","±1.4","±1.5","±2.0","±13,755","","±1.2","±1.1","(X)","(X)","(X)","","±1.1","±1.1","±0.5","","±1.2","±1.2"
"    Nonfamily household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,999,251","1.23","","(X)","(X)","","(X)","(X)","(X)","(X)","1,999,251","","0.6%","48.7%","38.4%","81.1%","35.2%","","57.4%","38.7%","3.9%","","52.3%","47.7%"
"        Margin of Error","","±19,753","±0.01","","(X)","(X)","","(X)","(X)","(X)","(X)","±19,753","","±0.1","±0.5","±0.6","±0.6","±0.5","","±0.7","±0.7","±0.2","","±0.7","±0.7"
"Rhode Island","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","446,688","2.35","","266,935","2.99","","102,559","20.5%","16.4%","63.1%","446,688","","25.4%","45.2%","34.4%","31.3%","14.1%","","61.1%","37.9%","0.9%","","63.3%","36.7%"
"        Margin of Error","","±3,663","±0.02","","±5,950","±0.05","","±3,931","±2.7","±2.3","±3.4","±3,663","","±0.9","±0.9","±0.6","±1.3","±0.8","","±1.3","±1.3","±0.2","","±1.3","±1.3"
"    Married-couple family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","188,207","3.09","","188,207","3.08","","65,492","22.0%","16.8%","61.2%","188,207","","36.9%","46.1%","(X)","(X)","(X)","","81.4%","18.2%","0.4%","","84.2%","15.8%"
"        Margin of Error","","±5,587","±0.05","","±5,587","±0.05","","±4,156","±3.3","±3.0","±4.3","±5,587","","±1.8","±1.6","(X)","(X)","(X)","","±1.6","±1.6","±0.3","","±1.8","±1.8"
"    Male householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","27,767","3.20","","27,767","2.72","","13,261","22.7%","16.3%","61.1%","27,767","","54.8%","33.6%","(X)","(X)","(X)","","58.8%","39.9%","1.3%","","50.6%","49.4%"
"        Margin of Error","","±3,552","±0.25","","±3,552","±0.20","","±2,494","±9.9","±8.9","±11.3","±3,552","","±7.7","±7.2","(X)","(X)","(X)","","±7.4","±7.4","±1.7","","±6.3","±6.3"
"    Female householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","50,961","3.02","","50,961","2.83","","23,806","14.8%","15.6%","69.6%","50,961","","54.1%","31.8%","(X)","(X)","(X)","","56.3%","42.5%","1.3%","","54.0%","46.0%"
"        Margin of Error","","±4,148","±0.11","","±4,148","±0.10","","±2,596","±4.4","±5.8","±7.2","±4,148","","±4.4","±3.5","(X)","(X)","(X)","","±4.6","±4.5","±0.9","","±4.3","±4.3"
"    Nonfamily household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","179,753","1.25","","(X)","(X)","","(X)","(X)","(X)","(X)","179,753","","0.8%","49.8%","39.4%","77.9%","35.1%","","41.7%","56.9%","1.4%","","46.0%","54.0%"
"        Margin of Error","","±6,366","±0.02","","(X)","(X)","","(X)","(X)","(X)","(X)","±6,366","","±0.3","±1.8","±1.6","±1.7","±1.7","","±2.1","±2.1","±0.4","","±2.3","±2.3"
"South Carolina","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","2,136,080","2.41","","1,398,412","2.97","","523,319","22.1%","19.2%","58.7%","2,136,080","","28.0%","43.6%","33.3%","28.8%","11.6%","","70.6%","15.4%","14.1%","","72.0%","28.0%"
"        Margin of Error","","±11,784","±0.01","","±15,620","±0.03","","±10,145","±1.0","±0.9","±1.1","±11,784","","±0.5","±0.4","±0.3","±0.6","±0.3","","±0.5","±0.4","±0.4","","±0.6","±0.6"
"    Married-couple family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,018,293","3.00","","1,018,293","2.98","","344,773","22.7%","19.6%","57.7%","1,018,293","","36.6%","45.0%","(X)","(X)","(X)","","83.6%","5.4%","10.9%","","86.9%","13.1%"
"        Margin of Error","","±15,568","±0.02","","±15,568","±0.02","","±8,556","±1.3","±1.3","±1.5","±15,568","","±0.7","±0.6","(X)","(X)","(X)","","±0.7","±0.5","±0.6","","±0.6","±0.6"
"    Male householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","94,418","3.03","","94,418","2.72","","38,696","22.9%","13.3%","63.7%","94,418","","50.4%","32.2%","(X)","(X)","(X)","","62.7%","14.3%","23.0%","","61.9%","38.1%"
"        Margin of Error","","±6,746","±0.11","","±6,746","±0.09","","±3,992","±4.7","±2.8","±5.2","±6,746","","±3.3","±3.0","(X)","(X)","(X)","","±3.0","±2.5","±2.5","","±3.3","±3.3"
"    Female householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","285,701","3.18","","285,701","3.01","","139,850","20.4%","19.8%","59.9%","285,701","","61.0%","32.0%","(X)","(X)","(X)","","59.9%","19.0%","21.1%","","55.2%","44.8%"
"        Margin of Error","","±10,236","±0.06","","±10,236","±0.06","","±7,419","±2.2","±1.9","±2.5","±10,236","","±1.6","±1.5","(X)","(X)","(X)","","±1.9","±1.6","±1.5","","±1.9","±1.9"
"    Nonfamily household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","737,668","1.21","","(X)","(X)","","(X)","(X)","(X)","(X)","737,668","","0.6%","47.7%","36.4%","83.4%","33.6%","","57.7%","27.8%","14.5%","","59.3%","40.7%"
"        Margin of Error","","±13,941","±0.01","","(X)","(X)","","(X)","(X)","(X)","(X)","±13,941","","±0.2","±0.9","±0.7","±0.9","±0.8","","±1.1","±0.9","±0.8","","±1.1","±1.1"
"South Dakota","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","368,300","2.38","","224,853","3.05","","97,158","23.7%","20.7%","55.7%","368,300","","29.0%","41.5%","31.0%","31.8%","12.9%","","73.2%","20.4%","6.4%","","69.6%","30.4%"
"        Margin of Error","","±3,163","±0.02","","±4,463","±0.05","","±4,179","±2.3","±2.0","±2.5","±3,163","","±1.0","±0.8","±0.7","±1.1","±0.8","","±1.1","±1.0","±0.5","","±1.1","±1.1"
"    Married-couple family household","","","","","","","","","","","","","","","","","","","","","","","","",""
